D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-12072022-Calibration7.b\10ppm-cal7-2.d,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-12 17:38:08 using Batch Laser-Ni-Xlens-H2He-12072022-Calibration7.b,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,Sb121,Te126,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.328,0,0,0,512.51,0,16.67,0,0,0,4333.9,730.02,4533.97,2066.8,183.33,1183.38,183.33,0,450.01,550.01
2.646,33.33,237.5,33.33,1075.03,975.03,833.35,0,37.5,183.33,3233.65,250,2600.21,1550.07,200,166.67,100,50,316.67,350
3.964,50,562.51,0,1112.54,1362.55,1683.42,0,25,450.01,6351.23,160,2583.54,1066.7,266.67,833.36,116.67,16.67,183.33,300
5.282,0,425.01,100,1300.05,1250.05,1166.71,0,12.5,150,2366.84,150,2083.47,1283.38,350,466.67,133.33,50,450.01,433.34
6.6,100,500.01,16.67,1125.04,1325.05,800.02,0,87.5,233.33,5467.58,190,2533.53,1383.39,200,283.34,183.33,0,450.01,483.34
7.919,0,350,166.67,1325.05,1337.55,983.36,0,125,150,3767.1,110,1316.72,1216.71,116.67,316.67,166.67,33.33,333.34,683.35
9.237,33.33,625.01,66.67,1325.05,1100.04,1250.05,0,12.5,333.34,3400.35,140,2716.89,1916.78,233.34,183.33,216.67,0,500.01,566.68
10.555,66.67,525.01,50,1050.03,1387.56,1116.7,25,62.5,266.67,3233.65,110,2333.5,1716.76,183.33,466.67,150,16.67,266.67,383.34
11.873,33.33,675.01,83.33,812.52,750.02,1233.38,0,37.5,366.67,3683.75,100,2500.19,1366.72,216.67,200,333.34,0,433.34,483.34
13.191,16.67,337.5,166.67,1350.05,1162.54,983.36,0,62.5,350,4884.06,170,1783.43,1816.77,316.67,466.67,116.67,0,216.67,366.67
14.509,50,512.51,133.33,950.03,1237.55,1216.71,0,25,366.67,5717.66,90,2500.19,2033.46,400.01,566.68,250,16.67,450.01,566.68
15.827,50,387.5,200,1050.03,1275.05,733.35,0,75,133.33,5367.54,220,2950.27,1533.41,250,633.35,150,0,266.67,500.01
17.145,16.67,450.01,133.33,1312.55,1237.55,1233.38,0,12.5,166.67,3133.63,70,2450.19,1200.04,116.67,433.34,83.33,0,400.01,533.34
18.463,16.67,387.5,33.33,1125.04,1250.05,933.36,0,0,450.01,4117.18,60,2133.47,2466.86,316.67,250,150,0,300,400.01
19.781,0,337.5,133.33,1387.56,1262.55,1633.41,0,87.5,333.34,4100.51,180,3267,1266.72,333.34,633.35,133.33,66.67,183.33,316.67
21.098,16.67,312.5,183.33,787.52,1050.03,1116.7,0,50,150,4859.05,60,2833.58,1400.06,283.34,433.34,133.33,0,366.67,533.34
22.417,66.67,275,100,987.53,1462.56,883.36,12.5,12.5,100,4717.34,180,2816.91,1616.75,266.67,366.67,233.34,33.33,416.67,333.34
23.735,16.67,700.01,150,800.02,1437.56,816.69,50,62.5,283.34,2550.2,220,3016.95,1666.75,283.34,566.68,183.33,16.67,383.34,566.68
