D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-12072022-Calibration7.b\2.5ppm-cal7-2.d,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-12 17:25:28 using Batch Laser-Ni-Xlens-H2He-12072022-Calibration7.b,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,Sb121,Te126,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.328,0,0,0,462.51,0,0,0,0,0,24835.42,70,4734.02,2116.81,383.34,66.67,166.67,0,716.68,1116.71
2.646,33.33,325,100,750.02,387.5,683.35,0,12.5,33.33,3166.97,80,3100.3,1016.7,650.01,133.33,183.33,16.67,1233.38,1483.41
3.964,66.67,237.5,116.67,450.01,437.51,916.69,0,25,50,3100.29,70,2666.89,1066.7,616.68,216.67,300,16.67,916.69,1000.03
5.282,0,225,100,575.01,425.01,1183.37,0,0,0,2550.2,40,2716.89,1100.04,733.35,150,233.34,16.67,900.03,1466.74
6.6,50,262.5,33.33,487.51,575.01,933.36,0,0,16.67,2933.6,50,2866.92,966.7,283.34,250,16.67,16.67,566.68,1583.42
7.918,16.67,250,200,537.51,500.01,733.35,12.5,12.5,50,4350.58,50,2933.6,1050.03,600.01,116.67,183.33,33.33,816.69,1183.38
9.236,0,312.5,100,525.01,475.01,750.02,12.5,25,16.67,3983.82,10,2933.6,633.35,666.68,133.33,216.67,16.67,950.03,1133.38
10.554,100,312.5,66.67,450.01,587.51,1050.03,0,0,83.33,3350.34,50,3267,950.03,583.34,116.67,333.34,16.67,1150.04,1066.7
11.872,33.33,312.5,133.33,600.01,537.51,866.69,25,0,116.67,3600.39,90,3400.36,850.02,733.35,66.67,200,16.67,1066.7,1633.42
13.19,16.67,187.5,0,412.51,462.51,683.35,37.5,0,116.67,3767.1,20,2933.6,1116.71,716.68,116.67,166.67,0,1166.71,1233.38
14.508,33.33,250,33.33,537.51,600.01,983.36,0,0,50,4183.87,20,2833.58,950.03,666.68,133.33,283.34,0,816.69,1016.7
15.827,33.33,287.5,16.67,725.02,512.51,783.35,12.5,0,16.67,3216.98,30,2533.53,1016.7,600.01,133.33,116.67,0,1066.7,1416.73
17.145,50,200,83.33,600.01,487.51,783.35,25,62.5,116.67,3483.7,30,2716.89,966.7,616.68,66.67,100,16.67,966.7,900.03
18.463,116.67,175,83.33,500.01,662.51,966.69,25,0,50,4033.83,150,3250.33,883.36,583.34,183.33,316.67,66.67,1116.71,1100.04
19.781,50,162.5,83.33,475.01,525.01,700.01,25,25,166.67,3066.95,70,2950.27,1016.7,733.35,150,266.67,0,1100.04,1000.03
21.098,33.33,287.5,116.67,587.51,587.51,833.35,12.5,0,50,2816.91,20,4083.85,1183.38,283.34,100,166.67,66.67,1183.38,1433.4
22.417,0,250,50,550.01,575.01,816.69,12.5,0,50,3333.67,60,2716.89,783.35,866.69,66.67,100,66.67,666.68,1133.38
23.735,16.67,300,33.33,500.01,537.51,950.03,0,0,50,2466.85,100,2533.53,816.69,566.68,200,183.33,33.33,900.03,1116.71
25.053,33.33,187.5,33.33,525.01,287.5,733.35,12.5,0,16.67,3517.04,30,3050.29,800.02,400.01,266.67,266.67,0,816.69,1283.39
26.371,0,187.5,66.67,537.51,512.51,1150.04,25,12.5,33.33,2650.21,80,4183.87,1033.37,500.01,166.67,83.33,33.33,933.36,966.7
27.689,100,262.5,100,487.51,487.51,666.68,0,37.5,33.33,3633.74,60,3383.69,1033.37,750.02,100,266.67,0,883.36,1200.05
29.007,33.33,137.5,100,687.51,550.01,716.68,0,12.5,50,3283.66,30,3200.32,716.68,716.68,116.67,250,50,1166.71,1050.04
30.325,0,212.5,100,612.51,525.01,833.35,50,0,66.67,3617.06,30,2733.56,1050.03,566.68,133.33,233.34,50,733.35,1150.04
31.643,0,175,50,612.51,400,883.36,12.5,0,116.67,3483.7,80,2300.16,950.03,450.01,133.33,183.33,50,1100.04,1116.71
32.961,50,162.5,33.33,662.51,425.01,783.35,12.5,12.5,33.33,3100.29,40,3250.33,1050.03,700.02,183.33,183.33,33.33,1016.7,783.35
34.279,0,162.5,83.33,562.51,412.51,1283.38,25,0,50,3000.27,30,3483.71,1216.71,633.35,166.67,200,0,1050.04,1150.04
35.597,0,262.5,116.67,362.5,487.51,800.02,0,0,0,4133.85,80,2783.57,950.03,800.02,66.67,233.34,0,916.69,900.03
36.916,33.33,287.5,16.67,550.01,762.52,616.68,12.5,0,16.67,4150.52,50,2916.93,983.36,650.01,150,216.67,0,966.7,1033.37
38.234,16.67,250,100,537.51,450.01,833.35,0,0,100,2950.26,40,2283.49,900.03,683.35,200,183.33,0,683.35,866.69
39.552,66.67,187.5,50,437.51,512.51,1000.03,0,0,50,3383.68,100,2800.24,1100.04,700.02,183.33,366.67,50,1300.06,1533.41
40.87,50,262.5,200,562.51,337.5,683.35,0,25,83.33,3133.63,20,2266.83,950.03,500.01,233.34,233.34,0,1050.04,1333.39
42.188,16.67,362.5,50,425.01,337.5,600.01,0,12.5,33.33,3417.02,50,2350.17,900.03,666.68,116.67,216.67,16.67,716.68,1150.04
43.506,33.33,225,33.33,612.51,550.01,1000.03,37.5,12.5,100,3066.95,70,2133.47,966.7,733.35,133.33,166.67,0,1116.71,1433.4
44.824,50,187.5,16.67,462.51,437.51,883.36,0,0,33.33,3183.64,90,2950.27,1016.7,650.01,166.67,216.67,0,1116.71,966.7
46.142,100,225,100,312.5,287.5,933.36,0,0,0,2566.87,90,2733.56,1283.38,566.68,183.33,133.33,33.33,883.36,966.7
47.46,0,212.5,33.33,425.01,475.01,766.68,0,0,33.33,2933.6,80,3100.3,666.68,516.68,33.33,366.67,0,1000.03,1333.39
48.778,50,312.5,66.67,400,425.01,1033.37,12.5,12.5,33.33,3317,10,2933.6,983.36,566.68,233.34,216.67,33.33,700.02,1316.72
50.096,33.33,350,50,375,462.51,800.02,0,37.5,83.33,3500.37,40,3267,983.36,583.34,216.67,266.67,33.33,650.01,1083.37
51.414,83.33,212.5,50,387.5,562.51,766.68,12.5,12.5,83.33,2583.54,50,2533.53,1033.37,550.01,133.33,133.33,0,1200.05,866.69
52.732,83.33,187.5,33.33,425.01,562.51,1066.7,0,12.5,66.67,2800.24,110,3533.72,933.36,450.01,150,350,16.67,966.7,966.7
54.05,83.33,325,83.33,587.51,387.5,850.02,0,12.5,66.67,3283.66,120,3367.02,1100.04,650.01,83.33,183.33,0,1250.05,1366.73
55.368,0,150,33.33,575.01,600.01,850.02,0,0,66.67,3617.06,30,3267,1066.7,416.67,50,150,100,966.7,950.03
56.686,16.67,287.5,50,550.01,300,750.02,12.5,37.5,50,3450.36,40,2766.9,866.69,816.69,216.67,200,16.67,1000.03,1350.06
58.004,50,275,116.67,700.01,362.5,650.01,0,12.5,33.33,4350.58,50,3333.68,1250.05,1033.37,166.67,233.34,33.33,1250.05,900.03
59.323,83.33,312.5,250,600.01,362.5,733.35,0,12.5,116.67,3333.67,40,3200.32,966.7,466.67,183.33,116.67,16.67,1416.73,1116.71
60.641,100,237.5,83.33,525.01,550.01,816.69,0,12.5,16.67,2950.26,70,3550.39,816.69,683.35,66.67,250,50,683.35,1050.04
