D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b\01-51T-OC-64.d,,,,,,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-05 00:25:57 using Batch Laser-Ni-Xlens-H2He-04072022-tissu01-51T-OC-1.b,,,,,,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Fe54,Mn55,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,In113,Sb121,Te126,La139,Ce140,Gd157,Pt195,Hg202,Tl205,Pb208,U238
1.545,0,300,33.33,0,50,100,0,80,0,12.5,0,1780.1,20,1220.05,3617.07,1780.1,3200.32,8719.04,533.34,33.33,133.33,50,1066.7,1433.4
3.08,16.67,7676.73,10603.3,162.5,0,75,112.5,160,0,0,0,200,50,180,1366.72,280,2616.88,7835.25,500.01,16.67,233.34,16.67,916.69,1816.78
4.615,50,8727.23,9602.7,87.5,83.33,25,225,180,0,0,16.67,460.01,70,140,2016.79,400,3633.75,9119.27,483.34,0,50,0,916.69,1300.06
6.15,0,7326.57,11837.44,62.5,16.67,175,162.5,60,0,0,0,240,30,100,2016.79,440.01,3050.29,7435.06,416.67,16.67,83.33,33.33,1100.04,1616.75
7.686,66.67,7576.68,11437.17,62.5,50,112.5,150,320,0,0,0,680.01,10,380,2100.14,560.01,3267,9469.47,666.68,66.67,166.67,50,1316.72,1200.05
9.221,116.67,8827.28,11770.73,25,66.67,87.5,150,160,0,0,0,300,10,100,916.69,280,2316.83,6951.51,583.34,16.67,100,50,1100.04,1650.09
10.756,33.33,9802.81,10369.82,87.5,83.33,175,87.5,220,0,25,16.67,520.01,20,200,1866.77,460.01,3066.96,8302.16,516.68,50,33.33,0,1450.07,1900.12
12.291,16.67,7901.83,9836.17,87.5,83.33,50,175,200,0,0,0,220,40,200,1583.41,140,2800.25,8152.08,600.01,66.67,183.33,0,983.37,2116.82
13.826,33.33,8952.35,12171.01,150,50,125,150,300,0,0,0,380,20,280,1750.09,400,2783.58,9286.03,466.67,33.33,83.33,16.67,1033.37,1766.77
15.361,133.33,7876.82,10636.65,75,66.67,212.5,75,260,25,0,0,260,0,220,1650.08,180,2133.48,6801.45,400.01,50,266.67,33.33,916.69,1450.07
16.896,33.33,8302.02,13238.47,12.5,66.67,62.5,212.5,180,0,12.5,0,260,20,200,1916.78,360,3367.02,8969.18,550.01,33.33,66.67,33.33,816.69,1500.08
18.431,66.67,7401.6,12604.66,50,116.67,137.5,175,420.01,12.5,0,0,400,50,180,1566.74,160,2716.9,8618.99,383.34,33.33,216.67,16.67,1183.38,1033.37
19.966,0,8727.23,10569.94,87.5,33.33,137.5,175,120,0,0,16.67,480.01,20,200,1783.43,280,3166.98,7918.63,400.01,33.33,200,16.67,1133.38,1650.09
21.501,83.33,8927.33,10870.13,137.5,83.33,150,187.5,140,0,0,0,220,10,100,1433.4,140,2833.58,7318.34,350,16.67,200,50,1133.38,1300.06
23.036,33.33,7851.81,12738.09,50,33.33,150,112.5,220,0,0,0,160,10,140,1333.39,240,3183.65,7885.28,383.34,0,166.67,16.67,916.69,1533.41
24.571,33.33,8226.98,10670,62.5,33.33,87.5,262.5,500.01,0,0,0,440.01,10,300,1866.77,1980.12,2483.53,7651.83,500.01,16.67,100,33.33,1133.38,1766.77
26.106,50,7851.81,8235.32,50,66.67,512.51,4163.01,1340.05,12.5,12.5,0,3720.42,130,420.01,1333.39,3960.49,2866.92,7701.86,350,0,200,50,1350.06,1766.77
27.642,33.33,8477.11,9102.43,25,50,375,3775.42,1660.08,0,25,0,3400.35,80,340,1500.07,4240.56,2683.56,6968.18,483.34,33.33,350,0,1183.38,1816.78
29.177,33.33,10603.29,9235.83,87.5,66.67,287.5,3800.43,1060.03,0,12.5,0,2740.23,130,680.01,1800.1,3640.41,2600.21,6501.32,466.67,16.67,266.67,83.33,1233.38,1850.11
30.712,50,10340.62,7968.53,87.5,33.33,225,4613.13,1080.03,12.5,0,0,1620.08,30,220,1966.79,1080.04,3016.95,8652.34,683.35,16.67,183.33,83.33,1350.06,1500.08
32.247,83.33,9277.52,11437.17,62.5,33.33,100,1312.55,540.01,37.5,12.5,0,800.02,60,220,1600.08,1220.05,3100.3,9169.3,516.68,50,50,133.33,1450.07,1216.72
33.782,16.67,8752.24,10569.94,75,150,150,3750.42,1140.04,0,0,0,3180.31,90,560.01,1833.44,3660.41,2316.83,6834.79,266.67,0,316.67,16.67,1366.73,1266.72
